specobjid,ra,dec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
956054538329024512,196.74643,5.836596,18.66374,16.7651,15.83242,15.40997,15.09981
2406155648749299712,219.08772,28.06027,19.57089,17.76469,16.93639,16.56254,16.26516
2110094829789669376,130.21007,61.124924,18.22228,16.75373,15.91584,15.48868,15.18571
1371485495082641408,153.7652,43.00991,18.90156,17.21917,17.05645,17.0238,17.40269
1797108375188695040,150.71545,37.118855,18.907,17.22404,16.44304,16.0758,15.80435
1321933530900490240,249.53476,36.50161,18.71488,17.48006,16.82906,16.47885,16.24953
1024603039966717952,202.10709,-3.5334458,19.5039,17.59471,16.57571,16.13904,15.76718
1578682691635668992,236.61986,35.172493,18.81969,16.99796,16.08974,15.68226,15.36758
2671916123049453568,153.76108,20.503458,17.71358,16.35315,15.68761,15.32969,15.06286
985184173335537664,160.75766,49.608734,17.72166,15.91643,15.06041,14.64686,14.32659
1382626022091941888,181.00156,10.023471,19.50389,17.72484,16.8103,16.39529,15.99334
2168562990821959680,124.16227,21.82989,19.16932,17.43685,16.43637,16.01368,15.6638
1912947150371710976,202.44957,11.709128,18.02898,16.435,15.52101,15.12806,14.85625
1032542613816764416,214.06508,-1.4646257,17.47455,16.93123,17.01552,17.01982,16.90757
2986008674369038336,200.92177,22.7463,17.99118,16.6639,15.9962,15.6469,15.47779
1859034251903657984,233.38528,29.828539,17.90205,16.81259,16.35896,16.08229,15.9382
445890478437591040,16.25631,-1.2067401,18.13414,16.83457,16.19653,15.794,15.5624
1923087127436879872,216.60976,12.688152,19.26044,17.57677,16.69262,16.29866,15.97334
2240580180408035328,165.49205,30.276213,18.56398,17.25318,16.61418,16.24909,16.07207
2942046075868964864,189.19244,19.065086,18.4413,17.1054,16.65028,16.38235,16.16699
493295923410003968,121.91643,47.23037,18.36199,16.75303,16.04158,15.69659,15.45175
2043538632651859968,225.83594,7.607734,17.94739,16.50631,15.6524,15.24702,15.14584
1337632630585190400,130.43028,4.308947,17.82734,16.56105,15.93709,15.54795,15.35037
881585438500874240,199.5173,61.914356,18.20082,16.79862,16.15913,15.78152,15.58785
485291203764447232,113.92295,37.095787,17.53304,16.25188,15.56268,15.15527,14.96344
2028965430676187136,202.9097,10.251361,17.88297,16.45387,15.61942,15.23104,14.95258
421107211050182656,334.429,-0.29072538,19.09018,17.81669,17.23553,16.83313,16.68756
649678095942445056,159.15181,3.564451,20.40384,18.26499,17.08965,16.64361,16.25953
1380401710169614336,176.68153,9.881826,20.82239,16.89354,15.90005,15.49627,15.29723
1486193146000861184,202.44127,55.60375,16.2291,14.90346,14.24379,13.92761,13.70875
2981511396547651584,190.70586,22.772804,17.7408,16.2642,15.9069,15.78191,15.74595
2792366523753195520,161.56154,16.541452,18.35641,17.27015,16.77034,16.45255,16.26085
1613442105215051776,161.70808,39.278393,18.89812,17.39238,16.83609,16.56597,16.33459
